SalePrice,CentralAir,OverallQual,GrLivArea,GarageArea,TotalBsmtSF,1stFlrSF,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageYrBlt,MasVnrArea,FullBath 0,FullBath 1,FullBath 2,FullBath 3,FullBath 4,ExterQual Ex,ExterQual Fa,ExterQual Gd,ExterQual TA,KitchenQual Ex,KitchenQual Fa,KitchenQual Gd,KitchenQual TA,BsmtQual Ex,BsmtQual Fa,BsmtQual Gd,BsmtQual TA,GarageCars 0.0,GarageCars 1.0,GarageCars 2.0,GarageCars 3.0,GarageCars 4.0,GarageCars 5.0,GarageFinish Fin,GarageFinish RFn,GarageFinish Unf,Fireplaces 0,Fireplaces 1,Fireplaces 2,Fireplaces 3,Fireplaces 4,HeatingQC Ex,HeatingQC Fa,HeatingQC Gd,HeatingQC Po,HeatingQC TA,Foundation BrkTil,Foundation CBlock,Foundation PConc,Foundation Slab,Foundation Stone,Foundation Wood
208500.0,1,0.6461833962946006,0.4135472163019127,0.34889966274824835,-0.44432777771884513,-0.7738610250965184,0.986849366836289,1.0462575960103884,0.896832928430717,1.000928758749552,0.525201887620202,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
181500.0,1,-0.06318453668168356,-0.4718906513878417,-0.05979245369921088,0.4771110864538928,0.26107477608525587,-0.28775828882527155,0.15476400268786517,-0.39560419033923755,-0.08500032684184981,-0.5722502445815958,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
223500.0,1,0.6461833962946006,0.5637554259992817,0.6275533785078796,-0.2990763311497436,-0.6107184357476674,-0.28775828882527155,0.9802210335420534,0.8489648869947928,0.9204895672242629,0.33482753815662486,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
140000.0,1,0.6461833962946006,0.4273821829845651,0.7854571507716707,-0.6712831629830662,-0.5062052144460596,0.3495455390055087,-1.859351152596354,-0.682812438954783,0.7998307799363293,-0.5722502445815958,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
250000.0,1,1.3555513292708847,1.3780420364639665,1.6864374983944785,0.21157328569475403,-0.037170270068112604,1.6241531946670693,0.9472027523078859,0.7532288041229442,0.8802699714616183,1.3874857057787575,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
143000.0,1,-0.7725524696579678,-0.2742482702070929,0.03309211822066622,-0.5805010088773778,-0.9268072026110664,-0.9250621166560519,0.7160747836687131,0.513888596943323,0.5987328011231068,-0.5722502445815958,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
307000.0,1,1.3555513292708847,0.3819244353129929,0.7575917791957076,1.4394019199741905,1.362287254190001,0.3495455390055087,1.0792758772445559,0.9925690113025655,1.0411483545121965,0.4692094318956205,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
200000.0,1,0.6461833962946006,1.164588264788758,0.05166903260464164,0.12533023929435,-0.13403618249399296,0.3495455390055087,0.05570915898536259,-0.5392083146470102,-0.20565911412978333,0.7715686928083607,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
129900.0,1,0.6461833962946006,0.5400383402575919,-0.02263862493126004,-0.2264506078651928,-0.35070993397293587,0.986849366836289,-1.3310586528496735,-1.6401732676732679,-1.8948821361608528,-0.5722502445815958,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
118000.0,1,-0.7725524696579678,-0.8375290565722269,-1.2440707456776439,-0.13793800761214656,-0.21050927125126692,-0.9250621166560519,-1.0669124029763333,-1.6401732676732679,-1.5731253700596965,-0.5722502445815958,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
129500.0,1,-0.7725524696579678,-0.9106567376091039,-0.41275382699474383,-0.02672986883267818,-0.3048260807185715,-0.9250621166560519,-0.20843709088797763,-0.9221526461344042,-0.5274158802309394,-0.5722502445815958,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
345000.0,1,2.064919262247169,1.62707143675171,1.222014638795093,0.2796599012740204,0.05714653939919196,2.89876085032863,1.1122941584787234,1.0404370527384896,1.081367950274841,1.0291339891414357,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
